청구번호,대분류,중분류,소분류,판정근거
0109-20260113-S002,설비,서보/모터,슬라이드/드라이버,수동확정
0109-20260128-S002,품질,조립불량,조립 품질,수동확정
0109-20260129-S003,품질,검사NG,검사 판정,수동확정
0109-20260130-S013,자재,품번/사양,혼입/사양 불일치,수동확정
0109-20260203-S001,품질,토크/작동력,기능 검사,수동확정
0109-20260204-S009,설비,구동계,이송/후진,수동확정
0109-20260221-S007,설비,기타설비,알람/잡음,수동확정
0109-20260318-S001,설비,구동계,이송/후진,수동확정
0109-20260324-S001,설비,기타설비,알람/잡음,수동확정
0109-20260325-S017,품질,검사NG,높이/치수검사,수동확정
0109-20260327-S001,설비,흡착장치,흡착/진공,수동확정
0109-20260330-S007,품질,조립불량,조립 품질,수동확정
0109-20260401-S002,품질,검사NG,검사 판정,수동확정
0109-20260401-S014,설비,실린더,실린더/에어,수동확정
0109-20260406-S003,품질,롤러/기어,부품 조립,수동확정
